"GC EI Compounds ID"	"New CD Table ID"	"New CD Table WorkflowID"
833	833	239
834	834	239
835	835	239
836	836	239
837	837	239
838	838	239
839	839	239
840	840	239
841	841	239
842	842	239
843	843	239
844	844	239
845	845	239
846	846	239
847	847	239
848	848	239
849	849	239
850	850	239
851	851	239
852	852	239
853	853	239
854	854	239
855	855	239
856	856	239
857	857	239
858	858	239
859	859	239
860	860	239
861	861	239
862	862	239
863	863	239
864	864	239
865	865	239
866	866	239
867	867	239
868	868	239
869	869	239
870	870	239
871	871	239
872	872	239
873	873	239
874	874	239
875	875	239
876	876	239
877	877	239
878	878	239
879	879	239
880	880	239
881	881	239
882	882	239
883	883	239
884	884	239
885	885	239
886	886	239
887	887	239
888	888	239
889	889	239
890	890	239
891	891	239
892	892	239
893	893	239
894	894	239
895	895	239
896	896	239
897	897	239
898	898	239
899	899	239
900	900	239
901	901	239
902	902	239
903	903	239
904	904	239
905	905	239
906	906	239
907	907	239
908	908	239
909	909	239
910	910	239
911	911	239
912	912	239
913	913	239
914	914	239
915	915	239
916	916	239
917	917	239
918	918	239
919	919	239
920	920	239
921	921	239
922	922	239
923	923	239
924	924	239
925	925	239
926	926	239
927	927	239
928	928	239
929	929	239
930	930	239
931	931	239
932	932	239
933	933	239
934	934	239
935	935	239
936	936	239
937	937	239
938	938	239
939	939	239
940	940	239
941	941	239
942	942	239
943	943	239
944	944	239
945	945	239
946	946	239
947	947	239
948	948	239
949	949	239
950	950	239
951	951	239
952	952	239
953	953	239
954	954	239
955	955	239
956	956	239
957	957	239
958	958	239
959	959	239
960	960	239
961	961	239
962	962	239
963	963	239
964	964	239
965	965	239
966	966	239
967	967	239
968	968	239
969	969	239
970	970	239
971	971	239
972	972	239
973	973	239
974	974	239
975	975	239
976	976	239
977	977	239
978	978	239
979	979	239
980	980	239
981	981	239
982	982	239
983	983	239
984	984	239
985	985	239
986	986	239
987	987	239
988	988	239
989	989	239
990	990	239
991	991	239
992	992	239
993	993	239
994	994	239
995	995	239
996	996	239
997	997	239
998	998	239
999	999	239
1000	1000	239
1001	1001	239
1002	1002	239
1003	1003	239
1004	1004	239
1005	1005	239
1006	1006	239
1007	1007	239
1008	1008	239
1009	1009	239
1010	1010	239
1011	1011	239
1012	1012	239
1013	1013	239
1014	1014	239
1015	1015	239
1016	1016	239
1017	1017	239
1018	1018	239
1019	1019	239
1020	1020	239
1021	1021	239
1022	1022	239
1023	1023	239
1024	1024	239
1025	1025	239
1026	1026	239
1027	1027	239
1028	1028	239
1029	1029	239
1030	1030	239
1031	1031	239
1032	1032	239
1033	1033	239
1034	1034	239
1035	1035	239
1036	1036	239
1037	1037	239
1038	1038	239
1039	1039	239
1040	1040	239
1041	1041	239
1042	1042	239
1043	1043	239
1044	1044	239
1045	1045	239
1046	1046	239
1047	1047	239
1048	1048	239
1049	1049	239
1050	1050	239
1051	1051	239
1052	1052	239
1053	1053	239
1054	1054	239
1055	1055	239
1056	1056	239
1057	1057	239
1058	1058	239
1059	1059	239
1060	1060	239
1061	1061	239
1062	1062	239
1063	1063	239
1064	1064	239
1065	1065	239
1066	1066	239
1067	1067	239
1068	1068	239
1069	1069	239
1070	1070	239
1071	1071	239
1072	1072	239
1073	1073	239
1074	1074	239
1075	1075	239
1076	1076	239
1077	1077	239
1078	1078	239
1079	1079	239
1080	1080	239
1081	1081	239
1082	1082	239
1083	1083	239
1084	1084	239
1085	1085	239
1086	1086	239
1087	1087	239
1088	1088	239
1089	1089	239
1090	1090	239
1091	1091	239
1092	1092	239
1093	1093	239
1094	1094	239
1095	1095	239
1096	1096	239
1097	1097	239
1098	1098	239
1099	1099	239
1100	1100	239
1101	1101	239
1102	1102	239
1103	1103	239
1104	1104	239
1105	1105	239
1106	1106	239
1107	1107	239
1108	1108	239
1109	1109	239
1110	1110	239
1111	1111	239
1112	1112	239
1113	1113	239
1114	1114	239
1115	1115	239
1116	1116	239
1117	1117	239
1118	1118	239
1119	1119	239
1120	1120	239
1121	1121	239
1122	1122	239
1123	1123	239
1124	1124	239
1125	1125	239
1126	1126	239
1127	1127	239
1128	1128	239
1129	1129	239
1130	1130	239
1131	1131	239
1132	1132	239
1133	1133	239
1134	1134	239
1135	1135	239
1136	1136	239
1137	1137	239
1138	1138	239
1139	1139	239
1140	1140	239
1141	1141	239
1142	1142	239
1143	1143	239
1144	1144	239
1145	1145	239
1146	1146	239
1147	1147	239
1148	1148	239
1149	1149	239
1150	1150	239
1151	1151	239
1152	1152	239
1153	1153	239
1154	1154	239
1155	1155	239
1156	1156	239
1157	1157	239
1158	1158	239
1159	1159	239
1160	1160	239
1161	1161	239
1162	1162	239
1163	1163	239
1164	1164	239
1165	1165	239
1166	1166	239
1167	1167	239
1168	1168	239
1169	1169	239
1170	1170	239
1171	1171	239
1172	1172	239
1173	1173	239
1174	1174	239
1175	1175	239
1176	1176	239
1177	1177	239
1178	1178	239
1179	1179	239
1180	1180	239
1181	1181	239
1182	1182	239
1183	1183	239
1184	1184	239
1185	1185	239
1186	1186	239
1187	1187	239
1188	1188	239
1189	1189	239
1190	1190	239
1191	1191	239
1192	1192	239
1193	1193	239
1194	1194	239
1195	1195	239
1196	1196	239
1197	1197	239
1198	1198	239
1199	1199	239
1200	1200	239
1201	1201	239
1202	1202	239
1203	1203	239
1204	1204	239
1205	1205	239
1206	1206	239
1207	1207	239
1208	1208	239
1209	1209	239
1210	1210	239
1211	1211	239
1212	1212	239
1213	1213	239
1214	1214	239
1215	1215	239
1216	1216	239
1217	1217	239
1218	1218	239
1219	1219	239
1220	1220	239
1221	1221	239
1222	1222	239
1223	1223	239
1224	1224	239
1225	1225	239
1226	1226	239
1227	1227	239
1228	1228	239
1229	1229	239
1230	1230	239
1231	1231	239
1232	1232	239
1233	1233	239
1234	1234	239
1235	1235	239
1236	1236	239
1237	1237	239
1238	1238	239
1239	1239	239
1240	1240	239
1241	1241	239
1242	1242	239
1243	1243	239
1244	1244	239
1245	1245	239
1246	1246	239
1247	1247	239
1248	1248	239
1249	1249	239
1250	1250	239
1251	1251	239
1252	1252	239
1253	1253	239
1254	1254	239
1255	1255	239
1256	1256	239
1257	1257	239
1258	1258	239
1259	1259	239
1260	1260	239
1261	1261	239
1262	1262	239
1263	1263	239
1264	1264	239
1265	1265	239
1266	1266	239
1267	1267	239
1268	1268	239
1269	1269	239
1270	1270	239
1271	1271	239
1272	1272	239
1273	1273	239
1274	1274	239
1275	1275	239
1276	1276	239
1277	1277	239
1278	1278	239
1279	1279	239
1280	1280	239
1281	1281	239
1282	1282	239
1283	1283	239
1284	1284	239
